Tekst,Label
elk weekend ligt deze plek op de kade vol met grof vuil.,Afval
Er liggen allemaal dozen en stukken karton rondom de papiercontainer,Afval
huisvuil wordt buiten ophaaldagen op straat gegooid en t ligt er dagen op de rijweg/ parkeerstrook.,Afval
"Strijkers afgestoken vlak voor de voordeur, om 17u 's middags",Overlast van en door personen of groepen
Van Papiercontainer ligt de zijkant eruit,Afval
Kast fietswrack huisvuil dumping sinds 10 december,Afval
Er wordt structureel huisafval naast de vuilcontainer gezet terwijl deze operationeel is.,Afval
Afvalcontainer gaat niet meer open. Er staat nu vuil naast. Kan de container worden gerepareerd en het vuil dat ernaast staat worden opgeruimd?,Afval
Papierbak waarschijnlijk vol Veel papier ernaast !!,Afval
Vuilnisbak wordt niet geleegd,Afval
ondergrondse container is weer vol en kartonnen liggen hierdoor eromheen,Afval
Gedumpt vuil,Afval
Twee containers aan de straat zitten helemaal vol. (tegen over de albert heijn),Afval
Restafval,Afval
vuil naast de container container,Afval
Container gaat niet meer open. Afval wordt er naast gezet. Het hoopt zich op.,Afval
klep van container zit vast,Afval
"PAPIERENbak is overvol , er ligt ook vuil naast  en er staat grofvuil oa een bank",Afval
De container is vol en de stoep is vies door allerlei zwerfvuil kan dat een keer goed aangeveegd worden en de container weer geleegd.,Afval
Twee huisvuilcontainers zijn vol of geblokkeerd. Eromheen staan nu heel veel vuilniszakken met ook veel voedsel erin,Afval
In het geveltuintje zitten allemaal holen van ratten.,Overlast van dieren
Geluidsoverlast muziek cafe ,Overlast Bedrijven en Horeca
Zeker 20 meter parkeervakken gevuld me bouw rommel.,Overlast in de openbare ruimte
grofvuil ophalen,Afval
Naast een goed werkende ondergrondse container,Afval
Grofvuil bij containers,Afval
Auto¨s parkeren veelvuldig midden op straat. Terwijl dit een woonerf is. Het is dus trottoir.,Overlast in de openbare ruimte
